1482,0,1,0,0
1483,0,1,0,0
1484,0,1,0,0
1485,0,1,0,0
1486,0,1,0,0
1487,0,1,0,0
1511,0,1,0,0
1512,0,1,0,0
1513,0,1,0,0
1514,0,1,0,0
1516,0,1,0,0
1517,0,1,0,0
1518,0,1,0,0
1519,0,1,0,0
1520,0,1,0,0
1543,0,1,0,0
1544,0,1,0,0
1545,0,1,0,0
1546,0,2,0,0
1547,0,1,0,0
1549,0,1,0,0
1550,0,1,0,0
1552,0,1,0,0
1555,0,1,0,0
1559,0,1,0,0
1560,0,1,0,0
1561,0,1,0,0
1562,0,1,0,0
1563,0,0,0,0
1564,0,1,0,0
1571,0,1,0,0
1575,0,1,0,0
1578,0,1,0,0
1581,0,1,0,0
1584,0,1,0,0
1585,0,1,0,0
1586,0,1,0,0
1601,0,1,0,0
1602,0,1,0,0
1604,0,1,0,0
1607,0,1,0,0
1608,0,1,0,0
1609,0,1,0,0
1610,0,1,0,0
1631,0,1,0,0
1632,0,1,0,0
1633,0,1,0,0
1634,0,1,0,0
1635,0,1,0,0
1636,0,1,0,0
1637,0,1,0,0
1638,0,1,0,0
1639,0,1,0,0
1641,0,1,0,0
1642,0,1,0,0
1643,0,1,0,0
1644,0,1,0,0
1645,0,1,0,0
1646,0,1,0,0
1647,0,1,0,0
1648,0,1,0,0
1649,0,1,0,0
1661,0,1,0,0
1662,0,1,0,0
1663,0,1,0,0
1664,0,1,0,0
1665,0,1,0,0
1667,0,1,0,0
1668,0,1,0,0
1691,0,1,0,0
1692,0,1,0,0
1693,0,0,1,100
1694,0,1,0,0
2201,0,2,0,0
2202,0,1,0,0
2203,0,2,0,0
2204,0,0,0,0
2205,0,1,0,0
2206,0,1,0,0
2207,0,1,0,0
2208,0,2,0,0
2209,0,1,0,0
2210,0,1,0,0
2301,0,1,0,0
2303,0,1,0,0
2304,0,1,0,0
2307,1,1,0,0
2321,0,1,0,0
2323,0,1,0,0
2343,0,0,0,0
2361,0,1,0,0
2362,0,0,0,0
2367,0,1,0,0
2381,0,1,0,0
2384,0,0,0,0
2387,0,1,0,0
2401,0,1,0,0
2402,0,1,0,0
2405,0,1,0,0
2406,0,0,0,0
2408,0,1,0,0
2411,0,1,0,0
2412,0,1,0,0
2423,0,0,0,0
2424,0,0,0,0
2425,0,0,0,0
2426,0,1,0,0
2441,0,1,0,0
2442,0,1,0,0
2443,0,1,0,0
2445,0,1,0,0
2446,0,1,0,0
2450,0,1,0,0
3201,0,1,1,50
3202,0,1,0,0
3203,0,1,0,0
3205,0,2,0,0
3206,0,1,0,0
3207,0,1,0,0
3208,0,1,0,0
3209,0,1,0,0
3210,0,1,0,0
3211,0,1,0,0
3213,0,1,0,0
3214,0,1,0,0
3215,0,1,0,0
3216,0,1,0,0
3301,0,1,0,0
